gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	taxonomicIssue	nonTaxonomicIssue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	superfamilyKey	familyKey	subfamilyKey	tribeKey	subtribeKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	isInvasive	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
912693816				CC_BY_4_0	2025-11-09T07:07:33.707Z								K	Herbarium			PRESERVED_SPECIMEN				http://specimens.kew.org/herbarium/K000944311	K000944311	194	Borges, R.A.X.; Bernardo, P.H.															PRESENT																							2006-07-14T00:00		195	195	2006	7	14											Pains	SOUTH_AMERICA				BR			Pains	Mineração Vale do São Miguel.									-20.353889	-45.668333											Label																																							Inga Mill.							Fabaceae	Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Inga							GENUS				ACCEPTED			cd6e21c8-9e8a-493a-8a76-fbf7862069e5	GB	2026-07-14T09:49:48.253Z	680.0					COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH			StillImage	true	false	2965936	2965936	6	7707728	220	1370		5386				2965936				Inga Mill.	Inga		DWC_ARCHIVE	2026-07-14T09:49:48.253Z	2026-07-14T09:28:09.712Z		true			false	LATIN_AMERICA	EUROPE	BRA	Brazil	BRA.13_1	Minas Gerais	BRA.13.546_2	Pains			
6415469332				CC_BY_4_0	2026-06-12T23:28:22Z			Rio de Janeiro Botanical Garden		04.936.616/0001-20			JBRJ	RB	RB - Rio de Janeiro Botanical Garden Herbarium Collection		PRESERVED_SPECIMEN			"{""project"" : ""Inventário Florestal Nacional - IFN""}"	urn:catalog:JBRJ:RB:1610281	RB01610281	1696	R.P. Viana															PRESENT							RB 906619	Liana / Cipó com 10.4m de altura e DAP de 10.3cm. Fuste de base outros, casca estriada fina, externamente de cor bege, internamente de cor rosa.															2025-02-07		38	38	2025	2	7												SOUTH_AMERICA				BR	Minas Gerais		Pains	Conglomerado MG_1253, subunidade 1, subparcela 3, indivíduo 11. Formulário F6. UTM do Ponto Central: E(424846m) N(7750730m), fuso do GPS (23K).									-20.34	-45.72																																				D. Monteiro		2026-02-04T00:00:00												Strychnos bicolor Progel								Plantae	Tracheophyta	Magnoliopsida	Gentianales		Loganiaceae				Strychnos	Strychnos			bicolor			SPECIES				ACCEPTED			4300f8d5-1ae5-49e5-a101-63894b005868	BR	2026-07-01T12:15:02.982Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY				true	false	5645781	5645781	6	7707728	220	412		2502				3169589		5645781	Strychnos bicolor	Strychnos bicolor Progel	Strychnos bicolor Progel		EML	2026-07-01T12:15:02.982Z	2026-07-01T12:07:13.796Z		false			false	LATIN_AMERICA	LATIN_AMERICA	BRA	Brazil	BRA.13_1	Minas Gerais	BRA.13.546_2	Pains			
6402829465				CC_BY_4_0	2026-06-25T12:21:56Z		https://specieslink.net/guid/15/41509	Herbário Rioclarense			https://specieslink.net/col/15		UNESP-RC	HRCB		Universidade Estadual Paulista - Campus de Rio Claro	PRESERVED_SPECIMEN				https://specieslink.net/guid/15/41509	41509	466	Melo, P.H.A.															PRESENT								Trepadeira, rupestre. Inflorescência jovem creme Habitat: Borda de afloramento calcáreo															2003-03-08		67	67	2003	3	8												SOUTH_AMERICA				BR	Minas Gerais		Arcos										-20.256389	-45.669167																																																		Urera Gaudich.								Plantae	Tracheophyta	Magnoliopsida	Rosales		Urticaceae				Urera							GENUS				ACCEPTED			fdf55163-54d8-4bc7-862d-7e41068589e3	BR	2026-06-26T18:23:22.508Z	700.0					CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE				true	false	2984329	2984329	6	7707728	220	691		6639				2984329				Urera Gaudich.	Urera		EML	2026-06-26T18:23:22.508Z	2026-06-26T18:18:17.469Z		false			false	LATIN_AMERICA	LATIN_AMERICA	BRA	Brazil	BRA.13_1	Minas Gerais	BRA.13.344_2	Iguatama			
6402828753				CC_BY_4_0	2026-06-25T12:21:56Z		https://specieslink.net/guid/15/41505	Herbário Rioclarense			https://specieslink.net/col/15		UNESP-RC	HRCB		Universidade Estadual Paulista - Campus de Rio Claro	PRESERVED_SPECIMEN				https://specieslink.net/guid/15/41505	41505	21	Melo, P.H.A.											native				PRESENT								Habitat: Afloramentos calcários															2002-08-09		221	221	2002	8	9												SOUTH_AMERICA				BR	Minas Gerais		Iguatama										-20.250278	-45.670833																																				Gaglioti, A.L.		2010-01-20T00:00:00												Urera baccifera (L.) Gaudich. ex Wedd.								Plantae	Tracheophyta	Magnoliopsida	Rosales		Urticaceae				Urera	Urera			baccifera			SPECIES				SYNONYM			fdf55163-54d8-4bc7-862d-7e41068589e3	BR	2026-06-26T18:23:22.591Z						CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE				true	false	2984339	7411905	6	7707728	220	691		6639				2984329		7411905	Urera baccifera	Urera baccifera (L.) Gaudich.	Urera baccifera		EML	2026-06-26T18:23:22.591Z	2026-06-26T18:18:17.469Z		false			false	LATIN_AMERICA	LATIN_AMERICA	BRA	Brazil	BRA.13_1	Minas Gerais	BRA.13.344_2	Iguatama			
6402826786				CC_BY_4_0	2026-06-25T12:21:56Z		https://specieslink.net/guid/15/41520	Herbário Rioclarense			https://specieslink.net/col/15		UNESP-RC	HRCB		Universidade Estadual Paulista - Campus de Rio Claro	PRESERVED_SPECIMEN				https://specieslink.net/guid/15/41520	41520	91	Melo, P.H.A.											native				PRESENT								Arbusto. Flor branca Habitat: Afloramentos calcários															2002-10-04		277	277	2002	10	4												SOUTH_AMERICA				BR	Minas Gerais		Iguatama										-20.256389	-45.669167																																				Gaglioti, A.L.		2010-01-20T00:00:00												Urera baccifera (L.) Gaudich. ex Wedd.								Plantae	Tracheophyta	Magnoliopsida	Rosales		Urticaceae				Urera	Urera			baccifera			SPECIES				SYNONYM			fdf55163-54d8-4bc7-862d-7e41068589e3	BR	2026-06-26T18:23:21.383Z						CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE				true	false	2984339	7411905	6	7707728	220	691		6639				2984329		7411905	Urera baccifera	Urera baccifera (L.) Gaudich.	Urera baccifera		EML	2026-06-26T18:23:21.383Z	2026-06-26T18:18:17.469Z		false			false	LATIN_AMERICA	LATIN_AMERICA	BRA	Brazil	BRA.13_1	Minas Gerais	BRA.13.344_2	Iguatama			
6402826663				CC_BY_4_0	2026-06-25T12:21:56Z		https://specieslink.net/guid/15/41535	Herbário Rioclarense			https://specieslink.net/col/15		UNESP-RC	HRCB		Universidade Estadual Paulista - Campus de Rio Claro	PRESERVED_SPECIMEN				https://specieslink.net/guid/15/41535	41535	387	Melo, P.H.A.															PRESENT								Herbácea. Terrestre. Flores brancas, botões rosa Habitat: Afloramento calcáreo															2003-02-01		32	32	2003	2	1												SOUTH_AMERICA				BR	Minas Gerais		Arcos										-20.251389	-45.662778																																																		Pilea Lindl.								Plantae	Tracheophyta	Magnoliopsida	Rosales		Urticaceae				Pilea							GENUS				ACCEPTED			fdf55163-54d8-4bc7-862d-7e41068589e3	BR	2026-06-26T18:23:21.318Z						CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE				true	false	2984417	2984417	6	7707728	220	691		6639				2984417				Pilea Lindl.	Pilea		EML	2026-06-26T18:23:21.318Z	2026-06-26T18:18:17.469Z		false			false	LATIN_AMERICA	LATIN_AMERICA	BRA	Brazil	BRA.13_1	Minas Gerais	BRA.13.46_2	Arcos			
6327426311				CC_BY_4_0	2026-06-16T02:10:43Z		https://specieslink.net/guid/220/88369	Herbário da UFMG - Fanerógamas, Algas e Fungos			https://specieslink.net/col/220		UFMG	BHCB		Universidade Federal de Minas Gerais	PRESERVED_SPECIMEN				https://specieslink.net/guid/220/88369	88369	1099	Melo, PHA de															PRESENT								Arbusto, flores brancas, fruto imaturo verde e maduro vermelho, planta urticante.; Clareira entre afloramentos calcários															2004-02-16		47	47	2004	2	16												SOUTH_AMERICA				BR	Minas Gerais		Pains	Fazenda Amargoso, MG 439 km 16, divisa com Francisco Golçalves Costa.									-20.382778	-45.64945																																				Stapf, MNS de		2004-07-14T00:00:00												Cordia urticifolia Cham.								Plantae	Tracheophyta	Magnoliopsida	Boraginales		Cordiaceae				Varronia	Cordia			urticifolia			SPECIES				SYNONYM			d2470ef8-edfa-4ba7-821e-c3e1a537bdba	BR	2026-06-25T20:18:18.102Z						CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE				true	false	5660427	4059364	6	7707728	220	7226464		4930453				7131431		4059364	Varronia polycephala	Varronia polycephala Lam.	Cordia urticifolia		EML	2026-06-25T20:18:18.102Z	2026-06-25T20:16:06.391Z		false			false	LATIN_AMERICA	LATIN_AMERICA	BRA	Brazil	BRA.13_1	Minas Gerais	BRA.13.546_2	Pains			
6327424309				CC_BY_4_0	2026-06-16T02:10:43Z		https://specieslink.net/guid/220/88372	Herbário da UFMG - Fanerógamas, Algas e Fungos			https://specieslink.net/col/220		UFMG	BHCB		Universidade Federal de Minas Gerais	PRESERVED_SPECIMEN				https://specieslink.net/guid/220/88372	88372	1078	Melo, PHA de; Souza, DT; Palmeira, LRM; Carvalho, FA															PRESENT								Arbusto, com flores brancas.; Na borda de mata seca.															2004-02-15		46	46	2004	2	15												SOUTH_AMERICA				BR	Minas Gerais		Arcos	Fazenda Faroeste, Margem direita do Rio São Miguel									-20.255842	-45.662508																																				Melo, PHA de														Cordia urticaefolia Cham.								Plantae	Tracheophyta	Magnoliopsida	Boraginales		Cordiaceae				Varronia	Cordia			urticaefolia			SPECIES				SYNONYM			d2470ef8-edfa-4ba7-821e-c3e1a537bdba	BR	2026-06-25T20:18:18.109Z						CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_NONE				true	false	8809793	4059364	6	7707728	220	7226464		4930453				7131431		4059364	Varronia polycephala	Varronia polycephala Lam.	Cordia urticaefolia		EML	2026-06-25T20:18:18.109Z	2026-06-25T20:16:06.391Z		false			false	LATIN_AMERICA	LATIN_AMERICA	BRA	Brazil	BRA.13_1	Minas Gerais	BRA.13.46_2	Arcos			
6220016319				CC_BY_4_0	2026-06-11T19:16:00Z		https://specieslink.net/guid/40/452664	Herbário do Museu Botânico Municipal			https://specieslink.net/col/40		MBM	MBM		Museu Botânico Municipal de Curitiba	PRESERVED_SPECIMEN				https://specieslink.net/guid/40/452664	452664	86	Valente, E.; Baumgratz, J.F.A.; Bovini, M.; Ferreira, C.D.M.; Leite, G.A.															PRESENT								Trepadeira, heliófila. Folhas verdes subconcolores, frutos verde-amarelados. 5 metros de altura. Habitat: Beira de estrada de ferro.															2018-05-21		141	141	2018	5	21												SOUTH_AMERICA				BR	Minas Gerais		Arcos	Calciolândia. Estrada de Ferro próximo ao Rio São Miguel									-20.237778	-45.660833																																				Valente, B.		2018-05-01T00:00:00												Malpighiaceae								Plantae	Tracheophyta	Magnoliopsida	Malpighiales		Malpighiaceae											FAMILY				ACCEPTED			3b8e9d83-b2d4-4a97-973c-31d98b67b1e9	BR	2026-06-26T20:12:41.587Z	593.0					COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY				true	false	6676	6676	6	7707728	220	1414		6676								Malpighiaceae			EML	2026-06-26T20:12:41.587Z	2026-06-26T20:07:06.787Z		false			false	LATIN_AMERICA	LATIN_AMERICA	BRA	Brazil	BRA.13_1	Minas Gerais	BRA.13.46_2	Arcos			
6220015328				CC_BY_4_0	2026-06-11T19:16:00Z		https://specieslink.net/guid/40/452665	Herbário do Museu Botânico Municipal			https://specieslink.net/col/40		MBM	MBM		Museu Botânico Municipal de Curitiba	PRESERVED_SPECIMEN				https://specieslink.net/guid/40/452665	452665	89	Valente, B.; Baumgratz, J.F.A.; Bovini, M.; Ferreira, C.D.M.; Leite, G.A.															PRESENT								Trepadeira, heliófila. Folhas verdes discolores, flores rosa-magenta, anteras alvas; 3 metros de altura. Habitat: Sobre árvore.															2018-05-21		141	141	2018	5	21												SOUTH_AMERICA				BR	Minas Gerais		Iguatama	Estrada Calciolândia x Pains									-20.264722	-45.669167																																				Valente, B.		2018-05-01T00:00:00												Convolvulaceae								Plantae	Tracheophyta	Magnoliopsida	Solanales		Convolvulaceae											FAMILY				ACCEPTED			3b8e9d83-b2d4-4a97-973c-31d98b67b1e9	BR	2026-06-26T20:12:41.683Z	645.0					COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;TAXON_MATCH_HIGHERRANK				true	false	2389	2389	6	7707728	220	1176		2389								Convolvulaceae			EML	2026-06-26T20:12:41.683Z	2026-06-26T20:07:06.787Z		false			false	LATIN_AMERICA	LATIN_AMERICA	BRA	Brazil	BRA.13_1	Minas Gerais	BRA.13.344_2	Iguatama			
