gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	projectTitle	projectID	fundingAttribution	fundingAttributionID	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
912693816					2025-11-09 07:07:33.707000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K000944311	K000944311	194	Borges, R.A.X.; Bernardo, P.H.																																							2006-07-14 00:00:00.0000000																					Pains					Brazil	BR			Pains	Mineração Vale do São Miguel.		680.0											-20.35388885	-45.66833342															Label																																							Inga							Fabaceae	Plantae					Fabaceae				Inga									Mill.					
6415469332				CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/legalcode#languages)	2026-06-12 20:28:22-0300			Rio de Janeiro Botanical Garden		04.936.616/0001-20			JBRJ	RB	RB - Rio de Janeiro Botanical Garden Herbarium Collection		PreservedSpecimen			"{""project"" : ""Inventário Florestal Nacional - IFN""}"	urn:catalog:JBRJ:RB:1610281	RB01610281	1696	R.P. Viana																							RB 906619	Liana / Cipó com 10.4m de altura e DAP de 10.3cm. Fuste de base outros, casca estriada fina, externamente de cor bege, internamente de cor rosa.															2025-02-07				2025	02	07																				Brasil	BR	Minas Gerais		Pains	Conglomerado MG_1253, subunidade 1, subparcela 3, indivíduo 11. Formulário F6. UTM do Ponto Central: E(424846m) N(7750730m), fuso do GPS (23K).													-20.3400000	-45.7200000						20º20´24´´	45º43´12´´W																																	D. Monteiro		2026-2-4												Strychnos bicolor Progel								Plantae					Loganiaceae				Strychnos				bicolor			sp.		Progel					
6402829465				https://creativecommons.org/licenses/by/4.0/	2026-06-25T12:21:56		https://specieslink.net/guid/15/41509	Herbário Rioclarense			https://specieslink.net/col/15		UNESP-RC	HRCB		Universidade Estadual Paulista - Campus de Rio Claro	PreservedSpecimen				https://specieslink.net/guid/15/41509	41509	466	Melo, P.H.A.															present									Trepadeira, rupestre. Inflorescência jovem creme Habitat: Borda de afloramento calcáreo															2003-3-8				2003	3	8																				Brasil		Minas Gerais		Arcos			700											-20.256389	-45.669167	WGS84																																																					Urera								Plantae					Urticaceae				Urera														
6402828753				https://creativecommons.org/licenses/by/4.0/	2026-06-25T12:21:56		https://specieslink.net/guid/15/41505	Herbário Rioclarense			https://specieslink.net/col/15		UNESP-RC	HRCB		Universidade Estadual Paulista - Campus de Rio Claro	PreservedSpecimen				https://specieslink.net/guid/15/41505	41505	21	Melo, P.H.A.											nativa				present									Habitat: Afloramentos calcários															2002-8-9				2002	8	9																				Brasil		Minas Gerais		Iguatama														-20.250278	-45.670833	WGS84																																							Gaglioti, A.L.		2010-1-20												Urera baccifera								Plantae					Urticaceae				Urera				baccifera					(L.) Gaudich. ex Wedd.					
6402826786				https://creativecommons.org/licenses/by/4.0/	2026-06-25T12:21:56		https://specieslink.net/guid/15/41520	Herbário Rioclarense			https://specieslink.net/col/15		UNESP-RC	HRCB		Universidade Estadual Paulista - Campus de Rio Claro	PreservedSpecimen				https://specieslink.net/guid/15/41520	41520	91	Melo, P.H.A.											nativa				present									Arbusto. Flor branca Habitat: Afloramentos calcários															2002-10-4				2002	10	4																				Brasil		Minas Gerais		Iguatama														-20.256389	-45.669167	WGS84																																							Gaglioti, A.L.		2010-1-20												Urera baccifera								Plantae					Urticaceae				Urera				baccifera					(L.) Gaudich. ex Wedd.					
6402826663				https://creativecommons.org/licenses/by/4.0/	2026-06-25T12:21:56		https://specieslink.net/guid/15/41535	Herbário Rioclarense			https://specieslink.net/col/15		UNESP-RC	HRCB		Universidade Estadual Paulista - Campus de Rio Claro	PreservedSpecimen				https://specieslink.net/guid/15/41535	41535	387	Melo, P.H.A.															present									Herbácea. Terrestre. Flores brancas, botões rosa Habitat: Afloramento calcáreo															2003-2-1				2003	2	1																				Brasil		Minas Gerais		Arcos														-20.251389	-45.662778	WGS84																																																					Pilea								Plantae					Urticaceae				Pilea														
6327426311				https://creativecommons.org/licenses/by/4.0/	2026-06-16T02:10:43		https://specieslink.net/guid/220/88369	Herbário da UFMG - Fanerógamas, Algas e Fungos			https://specieslink.net/col/220		UFMG	BHCB		Universidade Federal de Minas Gerais	PreservedSpecimen				https://specieslink.net/guid/220/88369	88369	1099	Melo, PHA de															present			https://images.cria.org.br/viewer/BHCB071862						Arbusto, flores brancas, fruto imaturo verde e maduro vermelho, planta urticante.; Clareira entre afloramentos calcários															2004-2-16				2004	2	16																				Brasil		Minas Gerais		Pains	Fazenda Amargoso, MG 439 km 16, divisa com Francisco Golçalves Costa.													-20.382778	-45.64945	WGS84																																							Stapf, MNS de		2004-7-14												Cordia urticifolia								Plantae					Boraginaceae				Cordia				urticifolia										
6327424309				https://creativecommons.org/licenses/by/4.0/	2026-06-16T02:10:43		https://specieslink.net/guid/220/88372	Herbário da UFMG - Fanerógamas, Algas e Fungos			https://specieslink.net/col/220		UFMG	BHCB		Universidade Federal de Minas Gerais	PreservedSpecimen				https://specieslink.net/guid/220/88372	88372	1078	Melo, PHA de; Souza, DT; Palmeira, LRM; Carvalho, FA															present			https://images.cria.org.br/viewer/BHCB071863						Arbusto, com flores brancas.; Na borda de mata seca.															2004-2-15				2004	2	15																				Brasil		Minas Gerais		Arcos	Fazenda Faroeste, Margem direita do Rio São Miguel													-20.255842	-45.662508	WGS84																																							Melo, PHA de		2005-11-0												Cordia urticaefolia								Plantae					Boraginaceae				Cordia				urticaefolia					Cham.					
6220016319				https://creativecommons.org/licenses/by/4.0/	2026-06-11T19:16:00		https://specieslink.net/guid/40/452664	Herbário do Museu Botânico Municipal			https://specieslink.net/col/40		MBM	MBM		Museu Botânico Municipal de Curitiba	PreservedSpecimen				https://specieslink.net/guid/40/452664	452664	86	Valente, E.; Baumgratz, J.F.A.; Bovini, M.; Ferreira, C.D.M.; Leite, G.A.															present			https://images.cria.org.br/viewer/MBM452664						Trepadeira, heliófila. Folhas verdes subconcolores, frutos verde-amarelados. 5 metros de altura. Habitat: Beira de estrada de ferro.															2018-5-21				2018	5	21																				Brazil		Minas Gerais		Arcos	Calciolândia. Estrada de Ferro próximo ao Rio São Miguel		593											-20.2377777	-45.6608333	WGS84																																							Valente, B.		2018-5																				Plantae					Malpighiaceae																		
6220015328				https://creativecommons.org/licenses/by/4.0/	2026-06-11T19:16:00		https://specieslink.net/guid/40/452665	Herbário do Museu Botânico Municipal			https://specieslink.net/col/40		MBM	MBM		Museu Botânico Municipal de Curitiba	PreservedSpecimen				https://specieslink.net/guid/40/452665	452665	89	Valente, B.; Baumgratz, J.F.A.; Bovini, M.; Ferreira, C.D.M.; Leite, G.A.															present			https://images.cria.org.br/viewer/MBM452665						Trepadeira, heliófila. Folhas verdes discolores, flores rosa-magenta, anteras alvas; 3 metros de altura. Habitat: Sobre árvore.															2018-5-21				2018	5	21																				Brazil		Minas Gerais		Iguatama	Estrada Calciolândia x Pains		645											-20.2647222	-45.6691667	WGS84																																							Valente, B.		2018-5																				Plantae					Convolvulaceae													Juss.					
