taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
36D2N	Dioscorea ovata Vell.	36D2N	Dioscorea ovata Vell.	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Dioscoreales	34W	Dioscoreaceae	623Y5	Dioscorea	8VRRX	Dioscorea ovata	36D2N	
86S2	Viguiera Kunth	86S2	Viguiera Kunth	1	GENUS	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Asterales	ST	Asteraceae	622TP	Viguiera	86S2			
32VZ5	Cyclopogon longibracteatus (Barb.Rodr.) Schltr.	32VZ5	Cyclopogon longibracteatus (Barb.Rodr.) Schltr.	3	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Asparagales	SP	Orchidaceae	DPL	Cyclopogon	8VWMW	Cyclopogon longibracteatus	32VZ5	LC
4K7WP	Pleopeltis pleopeltifolia (Raddi) Alston	4K7WP	Pleopeltis pleopeltifolia (Raddi) Alston	3	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Polypodiopsida	GV	Polypodiales	3VL	Polypodiaceae	627JZ	Pleopeltis	6SH4	Pleopeltis pleopeltifolia	4K7WP	
8R86V	Christella patens (Sw.) Holttum	8RV2M	Pelazoneuron patens (Sw.) A.R.Sm. & S.E.Fawc.	1	SPECIES	SYNONYM	Plantae	P	Tracheophyta	TP	Polypodiopsida	GV	Polypodiales	3VL	Thelypteridaceae	626PQ	Pelazoneuron	8RTTY	Pelazoneuron patens	8RV2M	
7732R	Peperomia rubricaulis (Nees) A.Dietr.	7732R	Peperomia rubricaulis (Nees) A.Dietr.	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Piperales	623FG	Piperaceae	625NL	Peperomia	6KXF	Peperomia rubricaulis	7732R	
8VSF4	Phyllanthus L.	8VSF4	Phyllanthus L.	5	GENUS	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Malpighiales	MLP	Phyllanthaceae	RCXBV	Phyllanthus	8VSF4			
5C2FG	Wissadula hernandioides (L'Hér.) Garcke	5C2FG	Wissadula hernandioides (L'Hér.) Garcke	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Malvales	3HP	Malvaceae	CDB	Wissadula	884G	Wissadula hernandioides	5C2FG	
CX3D	Amorimia rigida (A.Juss.) W.R.Anderson	CX3D	Amorimia rigida (A.Juss.) W.R.Anderson	6	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Malpighiales	MLP	Malpighiaceae	CD9	Amorimia	629T3	Amorimia rigida	CX3D	
TMMRZ	Trichilia casaretti C.DC.	588NJ	Trichilia casarettoi C.DC.	1	SPECIES	SYNONYM	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Sapindales	3ZY	Meliaceae	CKB	Trichilia	7Z63	Trichilia casarettoi	588NJ	
