gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
912693816	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000944311	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Inga			GENUS	Inga Mill.	Inga	Mill.	BR	Mineração Vale do São Miguel.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-20.353889	-45.668333			680.0				2006-07-14T00:00	14	7	2006	2965936		PRESERVED_SPECIMEN	K	Herbarium	K000944311	194			CC_BY_4_0		Borges, R.A.X.; Bernardo, P.H.			2026-07-14T09:49:48.253Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
6415469332	4300f8d5-1ae5-49e5-a101-63894b005868	urn:catalog:JBRJ:RB:1610281	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Loganiaceae	Strychnos	Strychnos bicolor		SPECIES	Strychnos bicolor Progel	Strychnos bicolor Progel	Progel	BR	Conglomerado MG_1253, subunidade 1, subparcela 3, indivíduo 11. Formulário F6. UTM do Ponto Central: E(424846m) N(7750730m), fuso do GPS (23K).	Minas Gerais	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-20.34	-45.72							2025-02-07	7	2	2025	5645781	5645781	PRESERVED_SPECIMEN	JBRJ	RB	RB01610281	1696	D. Monteiro	2026-02-04T00:00:00	CC_BY_4_0	Rio de Janeiro Botanical Garden	R.P. Viana			2026-07-01T12:15:02.982Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
6402829465	fdf55163-54d8-4bc7-862d-7e41068589e3	https://specieslink.net/guid/15/41509	Plantae	Tracheophyta	Magnoliopsida	Rosales	Urticaceae	Urera			GENUS	Urera Gaudich.	Urera		BR		Minas Gerais	PRESENT		92bd7d31-3255-4f1c-8552-cbb6fbe60478	-20.256389	-45.669167			700.0				2003-03-08	8	3	2003	2984329		PRESERVED_SPECIMEN	UNESP-RC	HRCB	41509	466			CC_BY_4_0	Herbário Rioclarense	Melo, P.H.A.			2026-06-26T18:23:22.508Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
6402828753	fdf55163-54d8-4bc7-862d-7e41068589e3	https://specieslink.net/guid/15/41505	Plantae	Tracheophyta	Magnoliopsida	Rosales	Urticaceae	Urera	Urera baccifera		SPECIES	Urera baccifera (L.) Gaudich. ex Wedd.	Urera baccifera	(L.) Gaudich. ex Wedd.	BR		Minas Gerais	PRESENT		92bd7d31-3255-4f1c-8552-cbb6fbe60478	-20.250278	-45.670833							2002-08-09	9	8	2002	2984339	7411905	PRESERVED_SPECIMEN	UNESP-RC	HRCB	41505	21	Gaglioti, A.L.	2010-01-20T00:00:00	CC_BY_4_0	Herbário Rioclarense	Melo, P.H.A.		native	2026-06-26T18:23:22.591Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
6402826786	fdf55163-54d8-4bc7-862d-7e41068589e3	https://specieslink.net/guid/15/41520	Plantae	Tracheophyta	Magnoliopsida	Rosales	Urticaceae	Urera	Urera baccifera		SPECIES	Urera baccifera (L.) Gaudich. ex Wedd.	Urera baccifera	(L.) Gaudich. ex Wedd.	BR		Minas Gerais	PRESENT		92bd7d31-3255-4f1c-8552-cbb6fbe60478	-20.256389	-45.669167							2002-10-04	4	10	2002	2984339	7411905	PRESERVED_SPECIMEN	UNESP-RC	HRCB	41520	91	Gaglioti, A.L.	2010-01-20T00:00:00	CC_BY_4_0	Herbário Rioclarense	Melo, P.H.A.		native	2026-06-26T18:23:21.383Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
6402826663	fdf55163-54d8-4bc7-862d-7e41068589e3	https://specieslink.net/guid/15/41535	Plantae	Tracheophyta	Magnoliopsida	Rosales	Urticaceae	Pilea			GENUS	Pilea Lindl.	Pilea		BR		Minas Gerais	PRESENT		92bd7d31-3255-4f1c-8552-cbb6fbe60478	-20.251389	-45.662778							2003-02-01	1	2	2003	2984417		PRESERVED_SPECIMEN	UNESP-RC	HRCB	41535	387			CC_BY_4_0	Herbário Rioclarense	Melo, P.H.A.			2026-06-26T18:23:21.318Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
6327426311	d2470ef8-edfa-4ba7-821e-c3e1a537bdba	https://specieslink.net/guid/220/88369	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Cordiaceae	Varronia	Varronia polycephala		SPECIES	Cordia urticifolia Cham.	Cordia urticifolia		BR	Fazenda Amargoso, MG 439 km 16, divisa com Francisco Golçalves Costa.	Minas Gerais	PRESENT		4265f332-341c-45f6-b30b-5dc2e39b86e8	-20.382778	-45.64945							2004-02-16	16	2	2004	5660427	4059364	PRESERVED_SPECIMEN	UFMG	BHCB	88369	1099	Stapf, MNS de	2004-07-14T00:00:00	CC_BY_4_0	Herbário da UFMG - Fanerógamas, Algas e Fungos	Melo, PHA de			2026-06-25T20:18:18.102Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
6327424309	d2470ef8-edfa-4ba7-821e-c3e1a537bdba	https://specieslink.net/guid/220/88372	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Cordiaceae	Varronia	Varronia polycephala		SPECIES	Cordia urticaefolia Cham.	Cordia urticaefolia	Cham.	BR	Fazenda Faroeste, Margem direita do Rio São Miguel	Minas Gerais	PRESENT		4265f332-341c-45f6-b30b-5dc2e39b86e8	-20.255842	-45.662508							2004-02-15	15	2	2004	8809793	4059364	PRESERVED_SPECIMEN	UFMG	BHCB	88372	1078	Melo, PHA de		CC_BY_4_0	Herbário da UFMG - Fanerógamas, Algas e Fungos	Melo, PHA de; Souza, DT; Palmeira, LRM; Carvalho, FA			2026-06-25T20:18:18.109Z		CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_NONE
6220016319	3b8e9d83-b2d4-4a97-973c-31d98b67b1e9	https://specieslink.net/guid/40/452664	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Malpighiaceae				FAMILY	Malpighiaceae			BR	Calciolândia. Estrada de Ferro próximo ao Rio São Miguel	Minas Gerais	PRESENT		ab5c0b99-5af3-4958-b03c-0b7e85481cc1	-20.237778	-45.660833			593.0				2018-05-21	21	5	2018	6676		PRESERVED_SPECIMEN	MBM	MBM	452664	86	Valente, B.	2018-05-01T00:00:00	CC_BY_4_0	Herbário do Museu Botânico Municipal	Valente, E.; Baumgratz, J.F.A.; Bovini, M.; Ferreira, C.D.M.; Leite, G.A.			2026-06-26T20:12:41.587Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
6220015328	3b8e9d83-b2d4-4a97-973c-31d98b67b1e9	https://specieslink.net/guid/40/452665	Plantae	Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae				FAMILY	Convolvulaceae		Juss.	BR	Estrada Calciolândia x Pains	Minas Gerais	PRESENT		ab5c0b99-5af3-4958-b03c-0b7e85481cc1	-20.264722	-45.669167			645.0				2018-05-21	21	5	2018	2389		PRESERVED_SPECIMEN	MBM	MBM	452665	89	Valente, B.	2018-05-01T00:00:00	CC_BY_4_0	Herbário do Museu Botânico Municipal	Valente, B.; Baumgratz, J.F.A.; Bovini, M.; Ferreira, C.D.M.; Leite, G.A.			2026-06-26T20:12:41.683Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;TAXON_MATCH_HIGHERRANK
