eventID	eventDate	eventType	samplingProtocol	locality	countryCode	eventRemarks	parentEventID	eventCategory	eventReferences
EVT-HIST-JBRJ-001	1925-01-25/2025-03-17	institutional longitudinal documentation	retrospective record integration in JABOT	Instituto de Pesquisas Jardim Botânico do Rio de Janeiro	BR	Event-pai agregador considerado no caso didático como criado retrospectivamente no JABOT em 2005; o intervalo cobre os Events documentados e não indica registro digital desde 1925.		context	https://manual-jabot.jbrj.gov.br/doku.php?id=start
EVT-1925-01-25-PLANTIO	1925-01-25	horticultural planting	planting	Jardim Botânico do Rio de Janeiro — arboreto	BR	Plantio do indivíduo na coleção viva.	EVT-HIST-JBRJ-001	context	https://example.org/events/EVT-1925-01-25-PLANTIO
EVT-1979-09-04-MEDICAO	1979-09-04	measurement	dendrometric measurement	Jardim Botânico do Rio de Janeiro — arboreto	BR	CAP e altura do indivíduo vivo.	EVT-HIST-JBRJ-001	context	https://example.org/events/EVT-1979-09-04-MEDICAO
EVT-1988-03-18-COLETA-FLORES	1988-03-18	material collecting event	manual botanical collection	Jardim Botânico do Rio de Janeiro — arboreto	BR	Coleta de ramo fértil com flores; a preparação posterior permanece em preparations da mesma MaterialEntity.	EVT-HIST-JBRJ-001	material collection	https://example.org/events/EVT-1988-03-18-COLETA-FLORES
EVT-2014-05-22-COLETA-FRUTOS	2014-05-22	material collecting event	manual botanical collection	Jardim Botânico do Rio de Janeiro — arboreto	BR	Coleta de ramo fértil com frutos; a preparação posterior permanece em preparations da mesma MaterialEntity.	EVT-HIST-JBRJ-001	material collection	https://example.org/events/EVT-2014-05-22-COLETA-FRUTOS
EVT-2020-10-14-REVISAO-TAXONOMICA	2020-10-14	taxonomic revision	taxonomic identification review	Herbário RB — Jardim Botânico do Rio de Janeiro	BR	Revisão taxonômica das duas exsicatas; não cria nova Occurrence.	EVT-HIST-JBRJ-001	context	https://example.org/events/EVT-2020-10-14-REVISAO-TAXONOMICA
EVT-2022-03-28-COLETA-SILICA	2022-03-28	tissue sampling	leaf tissue sampling	Jardim Botânico do Rio de Janeiro — arboreto	BR	Coleta de folhas e preservação em sílica.	EVT-HIST-JBRJ-001	material collection	https://example.org/events/EVT-2022-03-28-COLETA-SILICA
EVT-2025-03-15-EXTRACAO-DNA	2025-03-15	DNA extraction	CTAB DNA extraction	Laboratório molecular didático — JBRJ	BR	Extração de DNA da amostra foliar; origina um extrato físico.	EVT-HIST-JBRJ-001	nucleotide analysis	https://example.org/events/EVT-2025-03-15-EXTRACAO-DNA
EVT-2025-03-16-PCR	2025-03-16	PCR amplification	rbcL PCR amplification	Laboratório molecular didático — JBRJ	BR	Amplificação do marcador rbcL; origina um produto físico de PCR.	EVT-HIST-JBRJ-001	nucleotide analysis	https://example.org/events/EVT-2025-03-16-PCR
EVT-2025-03-17-SEQUENCIAMENTO	2025-03-17	Sanger sequencing	Sanger sequencing of rbcL	Laboratório molecular didático — JBRJ	BR	Sequenciamento do produto de PCR; contextualiza a análise e a sequência digital.	EVT-HIST-JBRJ-001	nucleotide analysis	https://example.org/events/EVT-2025-03-17-SEQUENCIAMENTO
