taxonID	parentNameUsageID	acceptedNameUsageID	acceptedNameUsage	scientificName	scientificNameAuthorship	scientificNameID	nameAccordingTo	nameAccordingToID	taxonRank	taxonomicStatus	kingdom	phylum	class	order	family	genus	specificEpithet	taxonRemarks
TAX-PLANTAE				Plantae			Flora e Funga do Brasil (constantemente atualizada)	https://doi.org/10.15468/1mtkaw	kingdom	accepted	Plantae							Nó superior da classificação usado no exemplo didático.
TAX-TRACHEOPHYTA	TAX-PLANTAE			Tracheophyta			Flora e Funga do Brasil (constantemente atualizada)	https://doi.org/10.15468/1mtkaw	phylum	accepted	Plantae	Tracheophyta						
TAX-MAGNOLIOPSIDA	TAX-TRACHEOPHYTA			Magnoliopsida			Flora e Funga do Brasil (constantemente atualizada)	https://doi.org/10.15468/1mtkaw	class	accepted	Plantae	Tracheophyta	Magnoliopsida					
TAX-FABALES	TAX-MAGNOLIOPSIDA			Fabales			Flora e Funga do Brasil (constantemente atualizada)	https://doi.org/10.15468/1mtkaw	order	accepted	Plantae	Tracheophyta	Magnoliopsida	Fabales				
TAX-FABACEAE	TAX-FABALES			Fabaceae	Lindl.		Flora e Funga do Brasil (constantemente atualizada)	https://doi.org/10.15468/1mtkaw	family	accepted	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae			
TAX-PAUBRASILIA	TAX-FABACEAE			Paubrasilia	(Lam.) Gagnon, H.C.Lima & G.P.Lewis		Flora e Funga do Brasil (constantemente atualizada)	https://doi.org/10.15468/1mtkaw	genus	accepted	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Paubrasilia		
TAX-PAUBRASILIA-ECHINATA	TAX-PAUBRASILIA			Paubrasilia echinata (Lam.) Gagnon, H.C.Lima & G.P.Lewis	(Lam.) Gagnon, H.C.Lima & G.P.Lewis	urn:lsid:ipni.org:names:77158012-1	Flora e Funga do Brasil (constantemente atualizada)	https://doi.org/10.15468/1mtkaw	species	accepted	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Paubrasilia	echinata	Nome aceito no recorte didático.
TAX-CAESALPINIA-ECHINATA		TAX-PAUBRASILIA-ECHINATA	Paubrasilia echinata (Lam.) Gagnon, H.C.Lima & G.P.Lewis	Caesalpinia echinata Lam.	Lam.		Flora e Funga do Brasil (constantemente atualizada)	https://doi.org/10.15468/1mtkaw	species	synonym	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Caesalpinia	echinata	Nome histórico usado nas determinações de 1988 e 2014.
TAX-CAESALPINIA-OBLIQUA		TAX-PAUBRASILIA-ECHINATA	Paubrasilia echinata (Lam.) Gagnon, H.C.Lima & G.P.Lewis	Caesalpinia obliqua Vogel	Vogel		Flora e Funga do Brasil (constantemente atualizada)	https://doi.org/10.15468/1mtkaw	species	synonym	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Caesalpinia	obliqua	Sinônimo exibido pela consulta pública da Flora e Funga do Brasil.
TAX-GUILANDINA-ECHINATA		TAX-PAUBRASILIA-ECHINATA	Paubrasilia echinata (Lam.) Gagnon, H.C.Lima & G.P.Lewis	Guilandina echinata (Lam.) Spreng.	(Lam.) Spreng.		Flora e Funga do Brasil (constantemente atualizada)	https://doi.org/10.15468/1mtkaw	species	synonym	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Guilandina	echinata	Sinônimo exibido pela consulta pública da Flora e Funga do Brasil.
TAX-CAESALPINIA-VESICARIA		TAX-PAUBRASILIA-ECHINATA	Paubrasilia echinata (Lam.) Gagnon, H.C.Lima & G.P.Lewis	Caesalpinia vesicaria Vell.	Vell.		Flora e Funga do Brasil (constantemente atualizada)	https://doi.org/10.15468/1mtkaw	species	synonym	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Caesalpinia	vesicaria	Sinônimo exibido pela consulta pública da Flora e Funga do Brasil.
