protocol_fk,event_fk
PROT-HISTORICO-EXEMPLAR,EVT-HIST-JBRJ-001
PROT-PLANTIO-HORTICULTURAL,EVT-1925-01-25-PLANTIO
PROT-MENSURACAO-CAP-ALTURA,EVT-1979-09-04-MEDICAO
PROT-COLETA-BOTANICA,EVT-1988-03-18-COLETA-FLORES
PROT-COLETA-BOTANICA,EVT-2014-05-22-COLETA-FRUTOS
PROT-IDENTIFICACAO-TAXONOMICA,EVT-2020-10-14-REVISAO-TAXONOMICA
PROT-PRESERVACAO-SILICA,EVT-2022-03-28-COLETA-SILICA
PROT-EXTRACAO-DNA,EVT-2025-03-15-EXTRACAO-DNA
PROT-PCR,EVT-2025-03-16-PCR
PROT-SEQUENCIAMENTO,EVT-2025-03-17-SEQUENCIAMENTO
