event_pk,eventID,parentEvent_fk,eventDate,eventCategory,eventType,locationID,locality,municipality,stateProvince,country,countryCode,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,eventProtocol_fk,provenance_fk,eventRemarks
EVT-HIST-JBRJ-001,EVT-HIST-JBRJ-001,,1925-01-25/2025-03-17,context,institutional longitudinal documentation,,,,,,,,,,,PROT-HISTORICO-EXEMPLAR,PROV-HISTORICO-JBRJ-001,"Event-pai agregador do histórico do indivíduo, considerado no caso didático como criado retrospectivamente no JABOT em 2005. O intervalo cobre os Events documentados; a informatização é proveniência e não substitui suas datas."
EVT-1925-01-25-PLANTIO,EVT-1925-01-25-PLANTIO,EVT-HIST-JBRJ-001,1925-01-25,context,horticultural planting,LOC-JBRJ-ARBORETO-PAUBRASIL-001,Jardim Botânico do Rio de Janeiro — arboreto,Rio de Janeiro,Rio de Janeiro,Brasil,BR,-22.9676,-43.2247,WGS84,300,PROT-PLANTIO-HORTICULTURAL,PROV-HISTORICO-JBRJ-001,Plantio do indivíduo na coleção viva; início documentado da história do exemplar.
EVT-1979-09-04-MEDICAO,EVT-1979-09-04-MEDICAO,EVT-HIST-JBRJ-001,1979-09-04,context,dendrometric measurement,LOC-JBRJ-ARBORETO-PAUBRASIL-001,Jardim Botânico do Rio de Janeiro — arboreto,Rio de Janeiro,Rio de Janeiro,Brasil,BR,-22.9676,-43.2247,WGS84,300,PROT-MENSURACAO-CAP-ALTURA,PROV-MENSURACAO-1979,CAP e altura do indivíduo vivo.
EVT-1988-03-18-COLETA-FLORES,EVT-1988-03-18-COLETA-FLORES,EVT-HIST-JBRJ-001,1988-03-18,material collection,botanical collection,LOC-JBRJ-ARBORETO-PAUBRASIL-001,Jardim Botânico do Rio de Janeiro — arboreto,Rio de Janeiro,Rio de Janeiro,Brasil,BR,-22.9676,-43.2247,WGS84,300,PROT-COLETA-BOTANICA,PROV-COLETA-1988-FLORES,"Coleta de ramo com flores. Prensagem, secagem e montagem são registradas em preparations da mesma MaterialEntity."
EVT-2014-05-22-COLETA-FRUTOS,EVT-2014-05-22-COLETA-FRUTOS,EVT-HIST-JBRJ-001,2014-05-22,material collection,botanical collection,LOC-JBRJ-ARBORETO-PAUBRASIL-001,Jardim Botânico do Rio de Janeiro — arboreto,Rio de Janeiro,Rio de Janeiro,Brasil,BR,-22.9676,-43.2247,WGS84,300,PROT-COLETA-BOTANICA,PROV-COLETA-2014-FRUTOS,"Coleta de ramo com frutos. Prensagem, secagem e montagem são registradas em preparations da mesma MaterialEntity."
EVT-2020-10-14-REVISAO-TAXONOMICA,EVT-2020-10-14-REVISAO-TAXONOMICA,EVT-HIST-JBRJ-001,2020-10-14,context,taxonomic revision,LOC-JBRJ-HERBARIO-RB-001,"Herbário RB, Jardim Botânico do Rio de Janeiro",Rio de Janeiro,Rio de Janeiro,Brasil,BR,,,,,PROT-IDENTIFICACAO-TAXONOMICA,PROV-REVISAO-TAXONOMICA-2020,Revisão das determinações das exsicatas; não cria nova Occurrence.
EVT-2022-03-28-COLETA-SILICA,EVT-2022-03-28-COLETA-SILICA,EVT-HIST-JBRJ-001,2022-03-28,material collection,tissue sampling,LOC-JBRJ-ARBORETO-PAUBRASIL-001,Jardim Botânico do Rio de Janeiro — arboreto,Rio de Janeiro,Rio de Janeiro,Brasil,BR,-22.9676,-43.2247,WGS84,300,PROT-PRESERVACAO-SILICA,PROV-COLETA-SILICA-2022,Coleta de folhas e preservação em sílica.
EVT-2025-03-15-EXTRACAO-DNA,EVT-2025-03-15-EXTRACAO-DNA,EVT-HIST-JBRJ-001,2025-03-15,nucleotide analysis,DNA extraction,LOC-JBRJ-LAB-MOLECULAR-001,"Laboratório didático de biologia molecular, Jardim Botânico do Rio de Janeiro",Rio de Janeiro,Rio de Janeiro,Brasil,BR,,,,,PROT-EXTRACAO-DNA,PROV-ANALISE-MOLECULAR-2025,Extração de DNA da amostra foliar; origina uma nova MaterialEntity.
EVT-2025-03-16-PCR,EVT-2025-03-16-PCR,EVT-HIST-JBRJ-001,2025-03-16,nucleotide analysis,PCR amplification,LOC-JBRJ-LAB-MOLECULAR-001,"Laboratório didático de biologia molecular, Jardim Botânico do Rio de Janeiro",Rio de Janeiro,Rio de Janeiro,Brasil,BR,,,,,PROT-PCR,PROV-ANALISE-MOLECULAR-2025,Amplificação do marcador rbcL; origina uma nova MaterialEntity.
EVT-2025-03-17-SEQUENCIAMENTO,EVT-2025-03-17-SEQUENCIAMENTO,EVT-HIST-JBRJ-001,2025-03-17,nucleotide analysis,Sanger sequencing,LOC-JBRJ-LAB-MOLECULAR-001,"Laboratório didático de biologia molecular, Jardim Botânico do Rio de Janeiro",Rio de Janeiro,Rio de Janeiro,Brasil,BR,,,,,PROT-SEQUENCIAMENTO,PROV-ANALISE-MOLECULAR-2025,Sequenciamento Sanger do produto de PCR; contextualiza a NucleotideAnalysis e a sequência digital.
